City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bambous Virieux,MU,-20.34,57.76,70,94,40,2.24,scattered clouds
1,Butaritari,KI,3.07,172.79,81.3,75,100,14.25,overcast clouds
2,Teknaf,BD,20.86,92.31,70.29,77,0,4.09,clear sky
3,Punta Arenas,CL,-53.15,-70.92,51.8,53,75,12.75,broken clouds
4,Ambovombe,MG,-25.17,46.08,70.9,68,100,2.17,overcast clouds
5,Busselton,AU,-33.65,115.33,75,37,0,9.13,clear sky
6,Manggar,ID,-2.88,108.27,83.53,73,100,9.31,light rain
7,Los Llanos De Aridane,ES,28.66,-17.92,68,64,20,6.93,few clouds
8,Passau,DE,48.57,13.45,37.99,88,0,2.46,clear sky
9,Puerto Escondido,MX,15.85,-97.07,82.4,61,75,5.5,broken clouds
10,Kapaa,US,22.08,-159.32,82.4,74,75,12.75,broken clouds
11,Porto Novo,BJ,6.5,2.6,82.4,83,40,12.75,scattered clouds
12,Saint-Philippe,RE,-21.36,55.77,69.8,68,0,6.93,clear sky
13,Saldanha,ZA,-33.01,17.94,57.2,93,8,5.82,clear sky
14,Kyaukse,MM,21.6,96.13,73.4,94,40,2.24,mist
15,Kedrovyy,RU,56.17,91.82,26.6,92,75,6.44,broken clouds
16,Vaini,TO,-21.2,-175.2,78.8,74,40,10.29,scattered clouds
17,Grants,US,35.15,-107.85,59,28,1,5.82,clear sky
18,Mataura,NZ,-46.19,168.86,52.27,77,99,9.48,overcast clouds
19,Mehamn,NO,71.04,27.85,39.81,77,85,26.28,light rain
20,Bintulu,MY,3.17,113.03,80.6,88,20,3.36,few clouds
21,Camacari,BR,-12.7,-38.32,78.8,88,40,10.29,scattered clouds
22,Cherskiy,RU,68.75,161.3,8.55,95,75,11.18,broken clouds
23,Torbay,CA,47.67,-52.73,53.01,87,90,25.28,overcast clouds
24,Cape Town,ZA,-33.93,18.42,59,87,40,13.87,scattered clouds
25,Lebu,CL,-37.62,-73.65,52.86,79,0,20.62,clear sky
26,Matamoros,MX,25.53,-103.25,78.8,32,5,4.7,clear sky
27,Albany,US,42.6,-73.97,57.99,49,30,5.41,scattered clouds
28,Chokurdakh,RU,70.63,147.92,-0.27,94,100,7.38,overcast clouds
29,Hualmay,PE,-11.1,-77.61,61.61,86,7,5.66,clear sky
30,Ferme-Neuve,CA,46.7,-75.45,59,54,82,10.29,broken clouds
31,Lompoc,US,34.64,-120.46,59,58,1,24.16,clear sky
32,Gold Coast,AU,-28,153.43,77,44,90,18.34,overcast clouds
33,Juneau,US,58.3,-134.42,30,86,90,4.7,overcast clouds
34,Port Elizabeth,ZA,-33.92,25.57,59,82,20,5.82,few clouds
35,Sinnamary,GF,5.38,-52.95,78.57,85,100,9.33,overcast clouds
36,Baghdad,IQ,33.34,44.4,66.2,63,0,5.82,clear sky
37,Pizarro,CO,4.95,-77.37,76.19,80,72,6.35,broken clouds
38,Hithadhoo,MV,-0.6,73.08,83.32,69,40,3.49,scattered clouds
39,Victoria,HK,22.29,114.16,79,57,11,1.01,few clouds
40,Belmonte,BR,-15.86,-38.88,75.2,88,0,3.36,clear sky
41,Nanortalik,GL,60.14,-45.24,34.45,87,100,19.64,overcast clouds
42,Sao Filipe,CV,14.9,-24.5,78.39,79,100,5.41,overcast clouds
43,Dingle,PH,11,122.67,81.3,83,100,8.03,light rain
44,Bethel,US,41.37,-73.41,59,76,1,5.88,clear sky
45,Rikitea,PF,-23.12,-134.97,71.49,75,24,17.98,few clouds
46,Ushuaia,AR,-54.8,-68.3,53.6,32,40,12.75,scattered clouds
47,Cidreira,BR,-30.18,-50.21,67.53,83,1,15.93,clear sky
48,Makat,KZ,47.65,53.35,46,71,94,9.71,overcast clouds
49,Mahebourg,MU,-20.41,57.7,68,94,40,2.24,scattered clouds
50,Revda,RU,56.8,59.93,39.2,94,75,6.71,broken clouds
51,Arraial Do Cabo,BR,-22.97,-42.03,71.6,83,75,9.17,broken clouds
52,Avarua,CK,-21.21,-159.78,80.6,74,0,9.17,clear sky
53,Hasaki,JP,35.73,140.83,59,71,75,1.12,broken clouds
54,Clyde River,CA,70.47,-68.59,6.8,84,75,18.34,light snow
55,Nouakchott,MR,18.09,-15.98,77,69,100,6.93,overcast clouds
56,Mareeba,AU,-17,145.43,89.01,55,0,6.93,clear sky
57,Marzuq,YE,14.4,46.47,59.88,51,0,2.28,clear sky
58,Asosa,ET,10.07,34.53,63.59,62,10,3.2,clear sky
59,Eydhafushi,MV,5.1,73.07,83.46,73,77,9.08,broken clouds
60,Mount Gambier,AU,-37.83,140.77,57.2,62,90,14.99,overcast clouds
61,Te Anau,NZ,-45.42,167.72,56.17,57,99,5.99,overcast clouds
62,Bluff,NZ,-46.6,168.33,46.98,83,100,10.33,overcast clouds
63,Taltal,CL,-25.4,-70.48,59.63,74,16,4.94,few clouds
64,Changping,CN,40.22,116.22,55.99,23,0,8.95,clear sky
65,Carnarvon,AU,-24.87,113.63,73.4,88,90,17.22,overcast clouds
66,Hamilton,US,39.18,-84.53,57.99,76,1,2.75,clear sky
67,Yar-Sale,RU,66.83,70.83,25.14,98,100,6.35,overcast clouds
68,Laukaa,RU,58.74,29.85,48.69,78,0,11.54,clear sky
69,Loreto,MX,22.27,-101.97,58.32,35,0,13.09,clear sky
70,Anloga,GH,5.79,0.9,82.4,83,40,11.41,scattered clouds
71,Longyearbyen,SJ,78.22,15.64,33.8,86,75,10.29,light snow
72,Marsh Harbour,BS,26.54,-77.06,78.64,79,100,22.79,overcast clouds
73,Kolosovka,RU,56.47,73.61,41.23,78,100,13.76,overcast clouds
74,Lasa,IT,46.62,10.7,44.01,93,5,3.36,clear sky
75,Herat,AF,34.5,62,48.88,43,85,5.21,overcast clouds
76,New Norfolk,AU,-42.78,147.06,55,53,99,3,overcast clouds
77,Ubinskoye,RU,55.31,79.68,39.83,94,100,11.27,overcast clouds
78,Talcahuano,CL,-36.72,-73.12,57.2,76,0,13.87,clear sky
79,Jamestown,US,42.1,-79.24,57.99,54,1,6.93,clear sky
80,Huancavelica,PE,-12.77,-74.98,40.84,89,25,4.54,light rain
81,Manado,ID,1.49,124.85,80.6,88,40,1.12,scattered clouds
82,Asfi,MA,32.3,-9.24,66.29,83,0,21.25,clear sky
83,Gejiu,CN,23.31,103.16,54.61,95,41,2.42,scattered clouds
84,Kondinskoye,RU,59.65,67.41,36.75,97,100,10,overcast clouds
85,Hermanus,ZA,-34.42,19.23,55.99,89,89,8.01,overcast clouds
86,Puerto Ayora,EC,-0.74,-90.35,68,78,0,5.99,clear sky
87,Rio Grande,BR,-32.03,-52.1,66,85,9,5.01,clear sky
88,Hilo,US,19.73,-155.09,82.4,69,75,10.29,broken clouds
89,Wells,GB,51.21,-2.65,44.01,93,90,5.82,overcast clouds
90,Talnakh,RU,69.49,88.4,10.4,66,40,13.42,scattered clouds
91,Nedjo,ET,9.5,35.5,56.68,83,100,1.95,overcast clouds
92,Katherine,AU,-14.47,132.27,89.6,46,40,12.75,scattered clouds
93,Akhisar,TR,38.92,27.84,51.15,81,1,8.68,clear sky
94,Labuan,MY,5.28,115.24,84.2,74,20,2.24,few clouds
95,Kaseda,JP,31.42,130.32,66.2,100,75,3.36,fog
96,Huarmey,PE,-10.07,-78.15,61.92,85,0,5.46,clear sky
97,Itarema,BR,-2.92,-39.92,80.2,78,100,14.79,overcast clouds
98,Honiara,SB,-9.43,159.95,87.8,70,20,5.82,few clouds
99,Necochea,AR,-38.55,-58.74,64,69,99,8.99,overcast clouds
100,Nago,JP,26.59,127.98,80.6,88,1,4.7,clear sky
101,Otane,NZ,-39.88,176.63,75.87,50,83,3.44,broken clouds
102,Barrow,US,71.29,-156.79,10.4,85,75,9.17,broken clouds
103,Ostrovnoy,RU,68.05,39.51,35.78,92,100,11.12,overcast clouds
104,Ambon,ID,-3.7,128.18,82.85,70,100,9.17,overcast clouds
105,Beringovskiy,RU,63.05,179.32,29.16,88,18,21.72,few clouds
106,Payson,US,40.04,-111.73,68,22,75,19.46,broken clouds
107,Roma,US,43.21,-75.46,57.99,66,1,3.91,clear sky
