City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,81.3,overcast clouds,3.07,172.79,Isles Sunset Lodge
5,Busselton,AU,75.0,clear sky,-33.65,115.33,Observatory Guest House
6,Manggar,ID,83.53,light rain,-2.88,108.27,Guest Hotel
9,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
10,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
11,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
16,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Bintulu,MY,80.6,few clouds,3.17,113.03,900 Boutique INN
21,Camacari,BR,78.8,scattered clouds,-12.7,-38.32,Sítio Blasi
26,Matamoros,MX,78.8,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
32,Gold Coast,AU,77.0,overcast clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
35,Sinnamary,GF,78.57,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
37,Pizarro,CO,76.19,broken clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
38,Hithadhoo,MV,83.32,scattered clouds,-0.6,73.08,Scoop Guest House
39,Victoria,HK,79.0,few clouds,22.29,114.16,Mini Hotel Central
40,Belmonte,BR,75.2,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
42,Sao Filipe,CV,78.39,overcast clouds,14.9,-24.5,Tortuga B&B
43,Dingle,PH,81.3,light rain,11.0,122.67,SEGAYA PROPERTY
52,Avarua,CK,80.6,clear sky,-21.21,-159.78,Paradise Inn
55,Nouakchott,MR,77.0,overcast clouds,18.09,-15.98,Hôtel Iman
56,Mareeba,AU,89.01,clear sky,-17.0,145.43,Trinity Plains Tourist Park
59,Eydhafushi,MV,83.46,broken clouds,5.1,73.07,Soneva Fushi
70,Anloga,GH,82.4,scattered clouds,5.79,0.9,Pin Drop Hotel
72,Marsh Harbour,BS,78.64,overcast clouds,26.54,-77.06,Abaco Beach Resort
81,Manado,ID,80.6,scattered clouds,1.49,124.85,Aryaduta Hotel
88,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
92,Katherine,AU,89.6,scattered clouds,-14.47,132.27,Pine Tree Motel
94,Labuan,MY,84.2,few clouds,5.28,115.24,Tiara Labuan Hotel
97,Itarema,BR,80.2,overcast clouds,-2.92,-39.92,Windvillage
98,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
100,Nago,JP,80.6,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
101,Otane,NZ,75.87,broken clouds,-39.88,176.63,Ludlow Farmstay
104,Ambon,ID,82.85,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
114,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
116,Banjar,ID,86.85,clear sky,-8.19,114.97,The Hamsa Resort
123,Isangel,VU,86.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
129,Atuona,PF,78.39,overcast clouds,-9.8,-139.03,Villa Enata
139,Angoche,MZ,75.49,overcast clouds,-16.23,39.91,Guest House HESADA
145,Kuching,MY,77.0,heavy intensity rain,1.55,110.33,Hilton Kuching
150,Acarau,BR,79.95,broken clouds,-2.89,-40.12,castelo pizzaria
151,Malindi,KE,76.95,clear sky,-3.22,40.12,African House Resort
159,Grand-Lahou,CI,78.89,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
163,Giyani,ZA,78.76,clear sky,-23.3,30.72,Kulani Country Lodge
167,Sola,VU,86.0,broken clouds,-13.88,167.55,Ulkel Guest House
169,Port-Gentil,GA,76.64,heavy intensity rain,-0.72,8.78,Fengshui Residence
170,Naze,JP,80.6,few clouds,28.37,129.48,奄美ポートタワーホテル
176,Kiunga,PG,80.91,moderate rain,-6.12,141.29,Airport Lodge Kiunga
179,Auki,SB,84.09,moderate rain,-8.77,160.7,Auki Motel
180,Saint George,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
182,Mangrol,IN,75.67,clear sky,21.12,70.12,Hotel The Royal Honours
186,Yulara,AU,80.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
189,Doha,QA,82.4,clear sky,25.29,51.53,Doha Marriott Hotel
191,Praia,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
194,Alugan,PH,78.46,light rain,12.22,125.48,JM Lodge
195,Bubaque,GW,84.56,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
205,Brownsville,US,77.0,clear sky,25.9,-97.5,Hotel Alameda Express
207,Saint-Louis,SN,86.0,clear sky,16.33,-15.0,
211,Kayankulam,IN,76.6,scattered clouds,9.18,76.5,Hotel Royal Indraprastha
218,Nioro,GM,80.19,few clouds,13.35,-15.75,
220,Pundaguitan,PH,82.27,light rain,6.37,126.17,Leonardo Family Beach House 1
221,Lakatoro,VU,84.2,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
223,West Bay,KY,78.8,overcast clouds,19.37,-81.42,Calypso Cove
224,Mandera,KE,78.73,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
227,Outram,MY,80.6,scattered clouds,1.28,103.84,Grand Copthorne Waterfront
229,Japura,ID,76.86,overcast clouds,-0.32,102.35,Rumah mbah Jamah
233,Manokwari,ID,85.03,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
235,Port Blair,IN,82.11,light rain,11.67,92.75,Fortune Resort Bay Island
241,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
244,Tabat,ID,84.78,few clouds,-2.63,115.23,Perumahan PNS Senga Permai
247,Puerto Leguizamo,CO,75.25,overcast clouds,-0.19,-74.78,la casona de juancho
248,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
258,Cabo San Lucas,MX,82.4,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
259,Hirara,JP,80.6,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
261,Iracoubo,GF,79.16,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
263,Alice Springs,AU,75.2,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
264,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
266,Augusto Correa,BR,78.22,overcast clouds,-1.02,-46.63,Fazenda Bacuri
271,San Lorenzo,PY,75.2,clear sky,-25.33,-57.53,Ámbar Hotel
272,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
273,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
274,Touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
