City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mushie,CD,-3.02,16.9,87.67,59,60,2.08,broken clouds
1,Yellowknife,CA,62.46,-114.35,19.4,100,90,3.36,overcast clouds
2,Puerto Ayora,EC,-0.74,-90.35,73.0,68,99,8.01,overcast clouds
3,Warwick,US,41.7,-71.42,69.01,63,20,3.0,few clouds
4,Nioro,GM,13.35,-15.75,102.38,16,0,9.6,clear sky
5,Atuona,PF,-9.8,-139.03,76.89,77,5,13.96,clear sky
6,Punta Arenas,CL,-53.15,-70.92,53.6,62,75,19.46,broken clouds
7,Pak Thong Chai,TH,14.72,102.03,75.99,99,19,7.16,few clouds
8,Ushuaia,AR,-54.8,-68.3,51.8,50,75,21.92,broken clouds
9,Jamestown,US,42.1,-79.24,51.8,66,1,5.82,clear sky
10,Ahipara,NZ,-35.17,173.17,54.61,84,39,11.52,light rain
11,Taoudenni,ML,22.68,-3.98,97.27,9,100,7.25,overcast clouds
12,Karasjok,NO,69.47,25.51,35.6,74,75,38.03,broken clouds
13,Dhidhdhoo,MV,6.88,73.1,84.25,73,59,5.61,light rain
14,Kapaa,US,22.08,-159.32,78.8,78,20,12.75,few clouds
15,Upernavik,GL,72.79,-56.15,-0.24,74,0,7.18,clear sky
16,Stroud,GB,51.75,-2.2,55.99,93,90,2.51,overcast clouds
17,Vaini,TO,-21.2,-175.2,73.4,83,40,6.93,scattered clouds
18,High Level,CA,58.52,-117.14,6.8,92,75,2.24,smoke
19,Bluff,NZ,-46.6,168.33,50.0,86,81,5.01,broken clouds
20,Ayr,GB,55.46,-4.63,53.6,87,90,5.03,overcast clouds
21,Tongren,CN,27.72,109.19,56.01,57,0,3.47,light rain
22,Ribeira Grande,PT,38.52,-28.7,62.6,55,40,14.99,scattered clouds
23,Puerto Escondido,MX,15.85,-97.07,77.0,65,20,8.05,few clouds
24,Lewiston,US,44.1,-70.21,61.0,76,1,2.19,clear sky
25,Victoria,HK,22.29,114.16,77.0,76,67,1.01,broken clouds
26,Porto De Moz,BR,-1.75,-52.24,91.44,51,56,5.53,broken clouds
27,Castro,BR,-24.79,-50.01,85.42,31,3,1.45,clear sky
28,Vardo,NO,70.37,31.11,33.8,80,40,18.34,scattered clouds
29,Maunabo,PR,18.01,-65.9,82.0,100,100,3.0,light rain
30,Dikson,RU,73.51,80.55,1.74,94,100,9.66,overcast clouds
31,Flinders,AU,-34.58,150.86,60.01,79,82,1.01,broken clouds
32,Norman Wells,CA,65.28,-126.83,15.8,92,75,8.05,broken clouds
33,Nyurba,RU,63.28,118.33,-4.22,90,0,3.8,clear sky
34,Granville,AU,-33.83,151.02,60.8,72,40,5.82,shower rain
35,Albany,US,42.6,-73.97,57.99,93,20,3.36,few clouds
36,Marshall,US,34.38,-86.33,72.0,72,1,10.29,clear sky
37,Saskylakh,RU,71.92,114.08,-11.07,87,0,10.0,clear sky
38,Lebu,CL,-37.62,-73.65,57.61,64,5,15.68,clear sky
39,Newtownards,GB,54.59,-5.69,55.99,93,90,10.29,overcast clouds
40,Kurush,RU,41.28,47.83,51.8,76,40,4.7,scattered clouds
41,Lompoc,US,34.64,-120.46,51.8,81,40,6.93,scattered clouds
42,Mataura,NZ,-46.19,168.86,50.0,86,51,5.01,broken clouds
43,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.27,67,62,11.79,broken clouds
44,Ponta Do Sol,PT,32.67,-17.1,71.6,64,40,4.7,scattered clouds
45,Kallaste,EE,58.66,27.16,41.0,75,0,8.05,clear sky
